State,Session,Bill-Number,Introduced,Name,Last-Action,Action-Date,Sponsor-List,Actions,Versions,Bill-Url,Source
TX,84,,1/26/2015,HB 926Relating to a study and report regarding the use of open-source instructional materials at public institutions of higher education.,Apr 22; 2015Left pending in committee,,,,,https://openstates.org/tx/bills/84/HB926/,openstates
CA,20112012,,2/18/2011,SB 613Instructional materials: open-source.,Jan 31; 2012Returned to Secretary of Senate pursuant to Joint Rule 56.,,,,,https://openstates.org/ca/bills/20112012/SB613/,openstates
TX,81,,3/5/2009,HB 2488Relating to open-source textbooks and other instructional materials for public schools.,Jun 19; 2009Effective on 9/1/09,,,,,https://openstates.org/tx/bills/81/HB2488/,openstates
OK,,SB345,,Oklahoma Information Services Act; exempting J.D. McCarty Center for Children with Developmental Disabilities from definition. Emergency.,Second Reading referred to Appropriations,2/8/2011,John Sparks,3,1,https://www.billtrack50.com/BillDetail/88090,billtrack50
OK,,SB345,,Oklahoma Information Services Act; exempting J.D. McCarty Center for Children with Developmental Disabilities from definition. Emergency.,Second Reading referred to Appropriations,2/8/2011,John Sparks,3,1,https://www.billtrack50.com/BillDetail/150521,billtrack50
OK,,SB474,,Oklahoma Information Services Act; deleting obsolete language. Effective date.,Second Reading referred to Rules,2/8/2011,Brian Bingman,3,1,https://www.billtrack50.com/BillDetail/88729,billtrack50
OK,,SB474,,Oklahoma Information Services Act; deleting obsolete language. Effective date.,Second Reading referred to Rules,2/8/2011,Brian Bingman,3,1,https://www.billtrack50.com/BillDetail/150879,billtrack50
OK,,SB475,,Oklahoma Information Services Act; deleting obsolete language. Effective date.,Second Reading referred to Rules,2/8/2011,Brian Bingman,3,1,https://www.billtrack50.com/BillDetail/88660,billtrack50
OK,,SB475,,Oklahoma Information Services Act; deleting obsolete language. Effective date.,Second Reading referred to Rules,2/8/2011,Brian Bingman,3,1,https://www.billtrack50.com/BillDetail/150882,billtrack50
OK,,SB720,,Oklahoma Information Services Act; clarifying language. Effective date.,Second Reading referred to Rules,2/8/2011,Brian Bingman,3,1,https://www.billtrack50.com/BillDetail/87810,billtrack50
OK,,SB720,,Oklahoma Information Services Act; clarifying language. Effective date.,Second Reading referred to Rules,2/8/2011,Brian Bingman,3,1,https://www.billtrack50.com/BillDetail/151557,billtrack50
US,,HR108,,Voting Opportunity and Technology Enhancement Rights Act of 2011,Referred to the Subcommittee on Federal Workforce; U.S. Postal Service; and Labor Policy .,2/8/2011,John Conyers,7,1,https://www.billtrack50.com/BillDetail/341144,billtrack50
TX,,HB104,,Relating to abolishing the Texas Higher Education Coordinating Board and transferring the coordinating board's functions and activities and the State Board of Education's statutorily assigned functions and activities to the Texas Education Agency.,REFERRED TO HIGHER EDUCATION,2/9/2011,,3,1,https://www.billtrack50.com/BillDetail/118427,billtrack50
OK,,SB760,,Oklahoma Information Services Act; deleting obsolete language. Effective date.,Pending authorship Representative(s) Murphey,2/10/2011,Clark Jolley,4,1,https://www.billtrack50.com/BillDetail/87542,billtrack50
